month,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU
1980-09,3.12,9.545454545454545,1.2727272727272727,0.0,0.0
1980-10,6.204545454545454,11.0,3.727272727272727,2.090909090909091,0.0
1980-11,4.951818181818182,7.545454545454546,3.909090909090909,2.0,0.0
1980-12,8.007272727272728,11.363636363636363,5.909090909090909,2.4545454545454546,0.0
1981-01,6.405454545454545,13.545454545454545,5.090909090909091,0.5454545454545454,0.0
1981-02,4.043636363636363,7.181818181818182,2.727272727272727,1.7272727272727273,0.0
1981-03,6.403636363636363,18.09090909090909,3.272727272727273,0.5454545454545454,0.0
1981-04,2.66,9.272727272727273,0.45454545454545453,0.0,0.0
1981-05,10.42,19.0,9.818181818181818,2.1818181818181817,0.0
1981-06,5.826363636363637,8.181818181818182,2.1818181818181817,2.0,0.0
1981-07,4.9,11.2,3.6,0.5,0.0
1981-08,2.412,6.9,1.6,0.1,0.0
1981-09,4.725,11.0,3.6,0.8,0.0
1981-10,16.39,20.8,8.8,4.7,0.0
1981-11,3.807,7.1,3.0,1.2,0.0
1981-12,10.222,19.2,4.1,2.6,0.0
1982-01,6.067,13.6,3.6,2.1,0.0
1982-02,2.3,6.4,1.3,0.0,0.0
1982-03,4.919,13.1,4.3,0.0,0.0
1982-04,1.08,3.2222222222222223,0.0,0.0,0.0
1982-05,10.161,13.3,6.2,3.6,0.0
1982-06,8.277,12.6,4.8,3.6,0.0
1982-07,9.552,6.4,3.5,1.7,0.0
1982-08,2.936,6.5,1.8,0.8,0.0
1982-09,5.333,7.9,4.1,1.6,0.0
1982-10,9.937000000000001,14.5,6.2,3.4,0.0
1982-11,6.445555555555556,10.222222222222221,4.333333333333333,1.4444444444444444,0.0
1982-12,8.689,14.1,5.5,3.0,0.0
1983-01,4.79,9.0,4.1,0.4,0.0
1983-02,6.484,10.1,4.8,2.3,0.0
1983-03,4.114,10.7,3.0,0.0,0.0
1983-04,8.912,18.6,6.0,2.3,0.0
1983-05,7.069,17.7,5.3,0.3,0.0
1983-06,6.593000000000001,7.8,5.0,2.7,0.0
1983-07,7.093000000000001,9.7,4.7,2.1,0.0
1983-08,3.775,4.5,2.4,1.4,0.0
1983-09,5.569000000000001,12.5,4.6,1.0,0.0
1983-10,1.738,5.2,1.0,0.0,0.0
1983-11,2.8600000000000003,4.8,2.0,1.1,0.0
1983-12,3.8289999999999997,9.9,2.1,0.4,0.0
1984-01,11.562999999999999,20.3,9.8,2.6,0.0
1984-02,3.357,10.9,0.5,0.0,0.0
1984-03,4.231,10.2,2.8,0.7,0.0
1984-04,2.195,3.4,1.1,0.9,0.0
1984-05,11.761,18.5,9.3,3.7,0.0
1984-06,3.2649999999999997,6.2,2.1,0.9,0.0
1984-07,4.397,5.4,3.0,2.1,0.0
1984-08,4.373,7.5,3.9,1.2,0.0
1984-09,12.666,17.6,8.7,4.7,0.0
1984-10,8.181999999999999,10.5,5.2,2.6,0.0
1984-11,6.56,12.1,6.8,0.8,0.0
1984-12,3.803,8.9,1.2,1.0,0.0
1985-01,3.411,11.8,0.7,0.0,0.0
1985-02,1.7329999999999999,3.6,1.1,0.7,0.0
1985-03,6.333,14.5,5.1,0.9,0.0
1985-04,6.227,12.2,4.6,2.0,0.0
1985-05,5.998,10.2,5.0,1.4,0.0
1985-06,4.6240000000000006,9.6,4.0,0.9,0.0
1985-07,5.824,9.9,3.5,1.2,0.0
1985-08,3.258,8.6,1.5,0.9,0.0
1985-09,3.536,4.0,2.6,1.0,0.0
1985-10,1.26,2.4,1.0,0.4,0.0
1985-11,5.364,12.7,4.1,0.6,0.0
1985-12,2.534,9.0,0.9,0.0,0.0
1986-01,8.712,17.0,7.2,2.6,0.0
1986-02,1.9009999999999998,4.8,1.5,0.1,0.0
1986-03,7.257,15.0,5.2,1.5,0.0
1986-04,10.105,17.0,8.5,1.9,0.0
1986-05,2.625,8.8,0.9,0.0,0.0
1986-06,4.236,6.0,2.5,1.2,0.0
1986-07,1.6199999999999999,3.0,1.1,0.8,0.0
1986-08,5.063000000000001,9.4,3.6,1.5,0.0
1986-09,5.157,6.8,4.0,1.5,0.0
1986-10,5.836,12.4,3.8,1.4,0.0
1986-11,4.287000000000001,13.1,3.2,0.0,0.0
1986-12,8.086,16.5,5.5,2.3,0.0
1987-01,2.925,6.5,2.5,0.6,0.0
1987-02,4.306,14.3,1.8,0.2,0.0
1987-03,5.135,12.6,4.1,0.5,0.0
1987-04,3.052,8.5,1.9,0.8,0.0
1987-05,6.008,11.8,4.9,1.0,0.0
1987-06,9.121,16.6,6.9,2.1,0.0
1987-07,7.43,9.8,6.5,2.1,0.0
1987-08,9.67,8.6,2.4,1.4,0.0
1987-09,2.399,6.4,1.8,0.3,0.0
1987-10,10.28,14.11111111111111,6.888888888888889,3.888888888888889,0.0
1987-11,5.79,11.2,5.5,1.1,0.0
1987-12,3.806,8.4,3.5,0.1,0.0
1988-01,10.968,22.6,8.2,2.3,0.0
1988-02,6.248,12.7,3.5,1.4,0.0
1988-03,8.823,17.2,7.4,1.1,0.0
1988-04,2.7670000000000003,4.9,1.9,1.0,0.0
1988-05,6.917999999999999,13.4,6.1,1.3,0.0
